Timestamp,Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z,Light intensity
3873,-0.499697,-0.824567,10.270637,-0.274585,0.158507,-0.331346,-19.668953,-15.764885,-37.367828,387.000000
3873,-0.499697,-0.824567,10.270637,-0.274585,0.158507,-0.331346,-17.782124,-14.685146,-37.416054,387.000000
3876,-0.502092,-0.776658,10.349688,-0.274585,0.158507,-0.331346,-17.782124,-14.685146,-37.416054,387.000000
3878,-0.502092,-0.776658,10.349688,-0.209071,0.206444,-0.289268,-17.782124,-14.685146,-37.416054,387.000000
3878,-0.466160,-0.774262,10.397597,-0.209071,0.206444,-0.289268,-17.782124,-14.685146,-37.416054,387.000000
3881,-0.458974,-0.788635,10.282615,-0.209071,0.206444,-0.289268,-17.782124,-14.685146,-37.416054,387.000000
3883,-0.458974,-0.788635,10.282615,-0.135036,0.258642,-0.249321,-17.782124,-14.685146,-37.416054,387.000000
3883,-0.535629,-0.803008,10.241890,-0.135036,0.258642,-0.249321,-17.782124,-14.685146,-37.416054,387.000000
3886,-0.578748,-0.812590,10.189191,-0.135036,0.258642,-0.249321,-17.782124,-14.685146,-37.416054,387.000000
3883,-0.578748,-0.812590,10.189191,-0.135036,0.258642,-0.249321,-17.805157,-13.562820,-38.092010,387.000000
3888,-0.578748,-0.812590,10.189191,-0.059402,0.318297,-0.215232,-17.805157,-13.562820,-38.092010,387.000000
3888,-0.631448,-0.841336,10.007134,-0.059402,0.318297,-0.215232,-17.805157,-13.562820,-38.092010,387.000000
3891,-0.612284,-0.817381,9.918502,-0.059402,0.318297,-0.215232,-17.805157,-13.562820,-38.092010,387.000000
3893,-0.612284,-0.817381,9.918502,0.008242,0.374756,-0.186470,-17.805157,-13.562820,-38.092010,387.000000
3893,-0.619471,-0.762285,9.772377,0.008242,0.374756,-0.186470,-17.805157,-13.562820,-38.092010,387.000000
3893,-0.619471,-0.762285,9.772377,0.008242,0.374756,-0.186470,-15.873394,-14.161463,-34.244713,387.000000
3896,-0.595516,-0.668861,9.595112,0.008242,0.374756,-0.186470,-15.873394,-14.161463,-34.244713,387.000000
3898,-0.595516,-0.668861,9.595112,0.061506,0.411507,-0.165698,-15.873394,-14.161463,-34.244713,387.000000
3898,-0.643426,-0.585020,9.425033,0.061506,0.411507,-0.165698,-15.873394,-14.161463,-34.244713,387.000000
3901,-0.676962,-0.513155,9.305259,0.061506,0.411507,-0.165698,-15.873394,-14.161463,-34.244713,387.000000
3903,-0.676962,-0.513155,9.305259,0.100920,0.425356,-0.148654,-15.873394,-14.161463,-34.244713,387.000000
3903,-0.657798,-0.424523,9.233395,0.100920,0.425356,-0.148654,-15.873394,-14.161463,-34.244713,387.000000
3903,-0.657798,-0.424523,9.233395,0.100920,0.425356,-0.148654,-17.134735,-14.694044,-34.218491,387.000000
3906,-0.691335,-0.398172,9.120807,0.100920,0.425356,-0.148654,-17.134735,-14.694044,-34.218491,387.000000
3908,-0.691335,-0.398172,9.120807,0.120095,0.422693,-0.132142,-17.134735,-14.694044,-34.218491,387.000000
3908,-0.760804,-0.276003,8.917192,0.120095,0.422693,-0.132142,-17.134735,-14.694044,-34.218491,387.000000
3911,-0.842250,-0.237675,8.806999,0.120095,0.422693,-0.132142,-17.134735,-14.694044,-34.218491,387.000000
3913,-0.842250,-0.237675,8.806999,0.136607,0.412040,-0.111369,-17.134735,-14.694044,-34.218491,387.000000
3913,-0.842250,-0.161020,8.756695,0.136607,0.412040,-0.111369,-17.134735,-14.694044,-34.218491,387.000000
3913,-0.842250,-0.161020,8.756695,0.136607,0.412040,-0.111369,-19.072250,-13.531403,-36.802872,387.000000
3916,-0.890160,-0.117901,8.677644,0.136607,0.412040,-0.111369,-19.072250,-13.531403,-36.802872,387.000000
3918,-0.935674,-0.058014,8.584219,0.136607,0.412040,-0.111369,-19.072250,-13.531403,-36.802872,387.000000
3918,-0.935674,-0.058014,8.584219,0.139802,0.391800,-0.093260,-19.072250,-13.531403,-36.802872,387.000000
3921,-0.928488,-0.007709,8.488400,0.139802,0.391800,-0.093260,-19.072250,-13.531403,-36.802872,387.000000
3923,-0.928488,-0.007709,8.488400,0.138737,0.354516,-0.069824,-19.072250,-13.531403,-36.802872,387.000000
3923,-0.954838,0.033014,8.354254,0.138737,0.354516,-0.069824,-19.072250,-13.531403,-36.802872,387.000000
3923,-0.954838,0.033014,8.354254,0.138737,0.354516,-0.069824,-19.077995,-12.967400,-35.539963,387.000000
3926,-0.981188,0.114460,8.356649,0.138737,0.354516,-0.069824,-19.077995,-12.967400,-35.539963,387.000000
3928,-0.981188,0.114460,8.356649,0.138205,0.302851,-0.041595,-19.077995,-12.967400,-35.539963,387.000000
3928,-1.093776,0.181534,8.349463,0.138205,0.302851,-0.041595,-19.077995,-12.967400,-35.539963,387.000000
3931,-0.935674,0.231839,8.224898,0.138205,0.302851,-0.041595,-19.077995,-12.967400,-35.539963,387.000000
3933,-0.935674,0.231839,8.224898,0.131280,0.251185,-0.010169,-19.077995,-12.967400,-35.539963,387.000000
3933,-0.830273,0.167161,8.227293,0.131280,0.251185,-0.010169,-19.077995,-12.967400,-35.539963,387.000000
3933,-0.830273,0.167161,8.227293,0.131280,0.251185,-0.010169,-20.304806,-15.750311,-37.363617,387.000000
3936,-0.806318,0.171952,8.241667,0.131280,0.251185,-0.010169,-20.304806,-15.750311,-37.363617,387.000000
3938,-0.806318,0.171952,8.241667,0.117965,0.197389,0.018593,-20.304806,-15.750311,-37.363617,387.000000
3938,-0.782363,0.176743,8.165010,0.117965,0.197389,0.018593,-20.304806,-15.750311,-37.363617,387.000000
3941,-0.779968,0.262980,8.102729,0.117965,0.197389,0.018593,-20.304806,-15.750311,-37.363617,387.000000
3943,-0.751222,0.286935,8.011701,0.117965,0.197389,0.018593,-20.304806,-15.750311,-37.363617,387.000000
3943,-0.751222,0.286935,8.011701,0.117965,0.197389,0.018593,-20.333591,-14.063982,-36.776649,387.000000
3946,-0.715290,0.294121,8.026073,0.117965,0.197389,0.018593,-20.333591,-14.063982,-36.776649,387.000000
3948,-0.641030,0.296517,8.045237,0.117965,0.197389,0.018593,-20.333591,-14.063982,-36.776649,387.000000
3943,-0.641030,0.296517,8.045237,0.096659,0.137735,0.031909,-20.333591,-14.063982,-36.776649,387.000000
3948,-0.641030,0.296517,8.045237,0.074821,0.089798,0.039365,-20.333591,-14.063982,-36.776649,387.000000
3951,-0.662589,0.325262,8.040446,0.074821,0.089798,0.039365,-20.333591,-14.063982,-36.776649,387.000000
